image_path,image_std,image_mean,image_max,image_min,image_contrast
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4124/D_4124_1.LEFT_CC.png,19019.643592075892,18263.08653733892,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4124/D_4124_1.RIGHT_CC.png,18944.90286331657,16672.531741141232,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4124/D_4124_1.RIGHT_MLO.png,18240.629820763286,18602.68023523966,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4124/D_4124_1.LEFT_MLO.png,18475.909617616173,18212.615147102297,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4161/D_4161_1.LEFT_CC.png,13109.658391473331,7321.5423208352295,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4161/D_4161_1.RIGHT_MLO.png,13173.858231056729,10004.948546380012,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4161/D_4161_1.RIGHT_CC.png,16348.897734375829,8564.245969865213,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4161/D_4161_1.LEFT_MLO.png,15383.986627487171,12047.734946013288,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4034/D_4034_1.RIGHT_MLO.png,18156.845246944737,18712.209490808327,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4034/D_4034_1.RIGHT_CC.png,13832.548528065156,12027.80942933549,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4034/D_4034_1.LEFT_CC.png,14139.41898268806,12266.350922641479,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4034/D_4034_1.LEFT_MLO.png,17388.963766384193,17371.439467931854,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4193/D_4193_1.RIGHT_MLO.png,18844.898416631797,19226.681589234828,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4193/D_4193_1.LEFT_MLO.png,17548.76939958851,18545.513657016043,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4193/D_4193_1.RIGHT_CC.png,18788.414805750737,18580.526644096546,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4193/D_4193_1.LEFT_CC.png,16070.06398618204,18126.047918177177,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4191/D_4191_1.RIGHT_MLO.png,16019.308890955312,12072.16708090384,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4191/D_4191_1.LEFT_CC.png,14904.403445456299,13371.729596365387,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4191/D_4191_1.LEFT_MLO.png,14924.339171959216,13158.796048077682,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4191/D_4191_1.RIGHT_CC.png,15012.510589444193,12430.047769145176,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4007/D_4007_1.LEFT_CC.png,15710.602217485846,10680.401412039279,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4007/D_4007_1.LEFT_MLO.png,16377.449939245087,13429.538770263474,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4007/D_4007_1.RIGHT_CC.png,15906.404742440487,9978.1571003004,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4007/D_4007_1.RIGHT_MLO.png,16418.485557718184,12351.207465064817,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4181/D_4181_1.RIGHT_CC.png,14534.304341283143,11162.315703393262,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4181/D_4181_1.LEFT_MLO.png,16842.465039199305,14880.465933545855,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4181/D_4181_1.LEFT_CC.png,15019.85566444707,12186.010352953903,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4181/D_4181_1.RIGHT_MLO.png,19359.4647015306,16383.378625974903,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4102/D_4102_1.LEFT_CC.png,16012.306971086646,8594.276548411948,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4102/D_4102_1.RIGHT_MLO.png,13680.737263871726,9635.973055412529,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4102/D_4102_1.RIGHT_CC.png,16306.96551545054,8176.40757724558,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4102/D_4102_1.LEFT_MLO.png,16654.196785590673,10872.811013546898,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4185/D_4185_1.LEFT_MLO.png,18693.059338204275,14506.852057239632,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4185/D_4185_1.RIGHT_CC.png,17626.757125474825,10291.628910427966,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4185/D_4185_1.RIGHT_MLO.png,14482.757613992158,10075.889027208039,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4185/D_4185_1.LEFT_CC.png,16606.20858484624,9847.552335553186,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4179/D_4179_1.LEFT_CC.png,17899.261627308417,14862.192461117676,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4179/D_4179_1.RIGHT_CC.png,18804.33579891756,14912.386784369555,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4179/D_4179_1.LEFT_MLO.png,20767.107657411376,20193.069760038634,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4179/D_4179_1.RIGHT_MLO.png,21741.899501420357,19560.239127772526,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4041/D_4041_1.LEFT_MLO.png,20051.007440781937,22302.584122206335,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4041/D_4041_1.RIGHT_MLO.png,19264.76819736564,19951.855251218723,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4041/D_4041_1.RIGHT_CC.png,18120.187441840175,15945.204882314023,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4041/D_4041_1.LEFT_CC.png,17069.335723272656,14927.676906306275,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4199/D_4199_1.LEFT_CC.png,11873.012864546437,7703.992290022398,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4199/D_4199_1.RIGHT_CC.png,13023.992368917112,8186.289479683292,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4199/D_4199_1.LEFT_MLO.png,16383.333440731527,12471.778366899094,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4199/D_4199_1.RIGHT_MLO.png,12942.859062966609,8307.311199690135,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4182/D_4182_1.LEFT_CC.png,15445.870720726229,13964.439508897334,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4182/D_4182_1.RIGHT_MLO.png,18852.52842785492,18960.26888623041,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4182/D_4182_1.LEFT_MLO.png,18718.835522610407,18130.114459383418,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4182/D_4182_1.RIGHT_CC.png,16213.974984597833,13445.037098338336,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4162/D_4162_1.LEFT_MLO.png,17012.162352629217,13007.912557100914,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4162/D_4162_1.RIGHT_MLO.png,15916.841551101154,13710.221299592833,65535,0,65535
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4162/D_4162_1.RIGHT_CC.png,12660.845011568976,7888.986362360832,65534,0,65534
/media/HD/mamo/DDSM_png_noclipping/cases/cancers/cancer_13/case4162/D_4162_1.LEFT_CC.png,13333.564398617542,8255.958189075722,65535,0,65535
